racename,precinctname,Choice,Election Day,"Vote
By
Mail",Early Votes,Provisional,Total Votes,Percentage
Representative in Congress District 22,C004,Ted Deutch (DEM),80,145,178,0,403,45.54%
Representative in Congress District 22,C007,Nicolas Kimaz (REP),66,43,59,0,168,53.33%
Representative in Congress District 22,C007,Ted Deutch (DEM),45,35,67,0,147,46.67%
Representative in Congress District 22,C008,Nicolas Kimaz (REP),101,84,165,0,350,51.24%
Representative in Congress District 22,C008,Ted Deutch (DEM),76,97,160,0,333,48.76%
Representative in Congress District 22,C009,Nicolas Kimaz (REP),21,21,27,0,69,20.35%
Representative in Congress District 22,C009,Ted Deutch (DEM),82,48,140,0,270,79.65%
Representative in Congress District 22,C010,Nicolas Kimaz (REP),278,105,196,0,579,42.11%
Representative in Congress District 22,C010,Ted Deutch (DEM),236,211,349,0,796,57.89%
Representative in Congress District 22,C011,Nicolas Kimaz (REP),181,196,207,0,584,51.64%
Representative in Congress District 22,C011,Ted Deutch (DEM),124,212,211,0,547,48.36%
Representative in Congress District 22,C012,Nicolas Kimaz (REP),86,230,188,0,504,50.65%
Representative in Congress District 22,C012,Ted Deutch (DEM),54,224,213,0,491,49.35%
Representative in Congress District 22,C013,Nicolas Kimaz (REP),85,109,113,0,307,48.19%
Representative in Congress District 22,C013,Ted Deutch (DEM),82,137,111,0,330,51.81%
Representative in Congress District 22,C014,Nicolas Kimaz (REP),117,72,187,0,376,53.26%
Representative in Congress District 22,C014,Ted Deutch (DEM),82,98,150,0,330,46.74%
Representative in Congress District 22,C016,Nicolas Kimaz (REP),256,268,408,0,932,51.24%
Representative in Congress District 22,C016,Ted Deutch (DEM),223,267,397,0,887,48.76%
Representative in Congress District 22,C017,Nicolas Kimaz (REP),185,116,135,0,436,57.60%
Representative in Congress District 22,C017,Ted Deutch (DEM),108,98,115,0,321,42.40%
Representative in Congress District 22,C018,Nicolas Kimaz (REP),216,126,198,0,540,55.10%
Representative in Congress District 22,C018,Ted Deutch (DEM),139,122,179,0,440,44.90%
Representative in Congress District 22,C019,Nicolas Kimaz (REP),171,143,254,0,568,58.38%
Representative in Congress District 22,C019,Ted Deutch (DEM),110,120,175,0,405,41.62%
Representative in Congress District 22,C020,Nicolas Kimaz (REP),-,-,-,-,13,38.24%
Representative in Congress District 22,C020,Ted Deutch (DEM),-,-,-,-,21,61.76%
Representative in Congress District 22,C022,Nicolas Kimaz (REP),175,128,249,0,552,58.54%
Representative in Congress District 22,C022,Ted Deutch (DEM),80,120,191,0,391,41.46%
Representative in Congress District 22,C023,Nicolas Kimaz (REP),397,379,369,0,"1,145",33.32%
Representative in Congress District 22,C023,Ted Deutch (DEM),584,816,891,0,"2,291",66.68%
Representative in Congress District 22,C024,Nicolas Kimaz (REP),196,163,148,0,507,32.69%
Representative in Congress District 22,C024,Ted Deutch (DEM),235,410,399,0,"1,044",67.31%
Representative in Congress District 22,C025,Nicolas Kimaz (REP),-,-,-,-,7,43.75%
Representative in Congress District 22,C025,Ted Deutch (DEM),-,-,-,-,9,56.25%
Representative in Congress District 22,C026,Nicolas Kimaz (REP),43,14,22,0,79,26.07%
Representative in Congress District 22,C026,Ted Deutch (DEM),71,41,112,0,224,73.93%
Representative in Congress District 22,C030,Nicolas Kimaz (REP),184,86,151,0,421,37.59%
Representative in Congress District 22,C030,Ted Deutch (DEM),276,153,270,0,699,62.41%
Representative in Congress District 22,C031,Nicolas Kimaz (REP),152,73,130,0,355,31.39%
Representative in Congress District 22,C031,Ted Deutch (DEM),272,188,316,0,776,68.61%
Representative in Congress District 22,C032,Nicolas Kimaz (REP),-,-,-,-,31,15.20%
Representative in Congress District 22,C032,Ted Deutch (DEM),59,20,94,0,173,84.80%
Representative in Congress District 22,C033,Nicolas Kimaz (REP),71,16,42,0,129,31.54%
Representative in Congress District 22,C033,Ted Deutch (DEM),106,68,106,0,280,68.46%
Representative in Congress District 22,C034,Nicolas Kimaz (REP),198,93,137,0,428,32.97%
Representative in Congress District 22,C034,Ted Deutch (DEM),329,181,360,0,870,67.03%
Representative in Congress District 22,C036,Nicolas Kimaz (REP),-,-,-,-,33,16.50%
Representative in Congress District 22,C036,Ted Deutch (DEM),47,34,86,0,167,83.50%
Representative in Congress District 22,C037,Nicolas Kimaz (REP),135,75,55,0,265,44.46%
Representative in Congress District 22,C037,Ted Deutch (DEM),136,89,106,0,331,55.54%
Representative in Congress District 22,C038,Nicolas Kimaz (REP),13,18,32,0,63,52.94%
Representative in Congress District 22,C038,Ted Deutch (DEM),10,22,24,0,56,47.06%
Representative in Congress District 22,D001,Nicolas Kimaz (REP),99,90,154,0,343,35.65%
Representative in Congress District 22,D001,Ted Deutch (DEM),146,151,322,0,619,64.35%
Representative in Congress District 22,D002,Nicolas Kimaz (REP),110,63,78,0,251,24.37%
Representative in Congress District 22,D002,Ted Deutch (DEM),221,196,362,0,779,75.63%
Representative in Congress District 22,D003,Nicolas Kimaz (REP),123,126,170,0,419,35.24%
Representative in Congress District 22,D003,Ted Deutch (DEM),143,237,390,0,770,64.76%
Representative in Congress District 22,D004,Nicolas Kimaz (REP),110,51,74,0,235,26.58%
Representative in Congress District 22,D004,Ted Deutch (DEM),211,174,264,0,649,73.42%
Representative in Congress District 22,D005,Nicolas Kimaz (REP),82,45,63,0,190,14.56%
Representative in Congress District 22,D005,Ted Deutch (DEM),305,243,567,0,"1,115",85.44%
Representative in Congress District 22,D006,Nicolas Kimaz (REP),107,75,111,0,293,28.78%
Representative in Congress District 22,D006,Ted Deutch (DEM),165,197,363,0,725,71.22%
Representative in Congress District 22,D007,Nicolas Kimaz (REP),-,-,-,-,8,40.00%
Representative in Congress District 22,D007,Ted Deutch (DEM),-,-,-,-,12,60.00%
Representative in Congress District 22,D008,Nicolas Kimaz (REP),134,76,104,0,314,32.44%
Representative in Congress District 22,D008,Ted Deutch (DEM),210,181,263,0,654,67.56%
Representative in Congress District 22,D010,Nicolas Kimaz (REP),33,18,21,0,72,16.25%
Representative in Congress District 22,D010,Ted Deutch (DEM),159,70,142,0,371,83.75%
Representative in Congress District 22,D011,Nicolas Kimaz (REP),-,-,-,-,18,11.18%
Representative in Congress District 22,D011,Ted Deutch (DEM),25,27,91,0,143,88.82%
Representative in Congress District 22,D014,Nicolas Kimaz (REP),101,59,74,0,234,30.31%
Representative in Congress District 22,D014,Ted Deutch (DEM),178,114,246,0,538,69.69%
Representative in Congress District 22,D015,Nicolas Kimaz (REP),129,99,140,0,368,30.90%
Representative in Congress District 22,D015,Ted Deutch (DEM),172,252,399,0,823,69.10%
Representative in Congress District 22,D016,Nicolas Kimaz (REP),255,155,155,0,565,32.38%
Representative in Congress District 22,D016,Ted Deutch (DEM),394,281,505,0,"1,180",67.62%
Representative in Congress District 22,E001,Nicolas Kimaz (REP),-,-,-,-,35,11.11%
Representative in Congress District 22,E001,Ted Deutch (DEM),106,58,116,0,280,88.89%
Representative in Congress District 22,E002,Nicolas Kimaz (REP),113,91,111,0,315,25.26%
Representative in Congress District 22,E002,Ted Deutch (DEM),276,209,447,0,932,74.74%
Representative in Congress District 22,E003,Nicolas Kimaz (REP),157,152,239,0,548,43.98%
Representative in Congress District 22,E003,Ted Deutch (DEM),202,176,320,0,698,56.02%
Representative in Congress District 22,E004,Nicolas Kimaz (REP),200,126,212,0,538,25.95%
Representative in Congress District 22,E004,Ted Deutch (DEM),509,324,702,0,"1,535",74.05%
Representative in Congress District 22,E005,Nicolas Kimaz (REP),119,79,158,0,356,27.60%
Representative in Congress District 22,E005,Ted Deutch (DEM),273,177,484,0,934,72.40%
Representative in Congress District 22,E006,Nicolas Kimaz (REP),325,229,439,0,993,34.98%
Representative in Congress District 22,E006,Ted Deutch (DEM),534,455,857,0,"1,846",65.02%
Representative in Congress District 22,E007,Nicolas Kimaz (REP),211,146,297,0,654,30.22%
Representative in Congress District 22,E007,Ted Deutch (DEM),486,332,692,0,"1,510",69.78%
Representative in Congress District 22,E008,Nicolas Kimaz (REP),198,119,161,0,478,29.00%
Representative in Congress District 22,E008,Ted Deutch (DEM),344,297,529,0,"1,170",71.00%
Representative in Congress District 22,E009,Nicolas Kimaz (REP),151,82,137,0,370,35.99%
Representative in Congress District 22,E009,Ted Deutch (DEM),183,192,283,0,658,64.01%
Representative in Congress District 22,E010,Nicolas Kimaz (REP),302,212,275,0,789,33.53%
Representative in Congress District 22,E010,Ted Deutch (DEM),483,369,712,0,"1,564",66.47%
Representative in Congress District 22,E011,Nicolas Kimaz (REP),218,159,199,0,576,30.41%
Representative in Congress District 22,E011,Ted Deutch (DEM),418,255,645,0,"1,318",69.59%
Representative in Congress District 22,E012,Nicolas Kimaz (REP),75,40,97,0,212,25.21%
Representative in Congress District 22,E012,Ted Deutch (DEM),184,106,339,0,629,74.79%
Representative in Congress District 22,E013,Nicolas Kimaz (REP),199,128,199,0,526,34.90%
Representative in Congress District 22,E013,Ted Deutch (DEM),269,253,459,0,981,65.10%
Representative in Congress District 22,E014,Nicolas Kimaz (REP),319,277,312,0,908,40.43%
Representative in Congress District 22,E014,Ted Deutch (DEM),339,377,622,0,"1,338",59.57%
Representative in Congress District 22,E015,Nicolas Kimaz (REP),140,88,127,0,355,39.31%
Representative in Congress District 22,E015,Ted Deutch (DEM),165,133,250,0,548,60.69%
Representative in Congress District 22,E016,Nicolas Kimaz (REP),146,101,143,0,390,37.83%
Representative in Congress District 22,E016,Ted Deutch (DEM),187,151,303,0,641,62.17%
Representative in Congress District 22,E017,Nicolas Kimaz (REP),207,130,295,0,632,33.30%
Representative in Congress District 22,E017,Ted Deutch (DEM),285,340,641,0,"1,266",66.70%
Representative in Congress District 22,E018,Nicolas Kimaz (REP),78,114,133,0,325,45.77%
Representative in Congress District 22,E018,Ted Deutch (DEM),79,139,167,0,385,54.23%
Representative in Congress District 22,E019,Nicolas Kimaz (REP),116,65,108,0,289,26.78%
Representative in Congress District 22,E019,Ted Deutch (DEM),256,175,359,0,790,73.22%
Representative in Congress District 22,E020,Nicolas Kimaz (REP),189,123,267,0,579,29.07%
Representative in Congress District 22,E020,Ted Deutch (DEM),410,394,609,0,"1,413",70.93%
Representative in Congress District 22,E021,Nicolas Kimaz (REP),147,75,142,0,364,33.89%
Representative in Congress District 22,E021,Ted Deutch (DEM),185,171,354,0,710,66.11%
Representative in Congress District 22,E022,Nicolas Kimaz (REP),221,182,307,0,710,36.83%
Representative in Congress District 22,E022,Ted Deutch (DEM),270,351,597,0,"1,218",63.17%
Representative in Congress District 22,E023,Nicolas Kimaz (REP),171,99,174,0,444,37.00%
Representative in Congress District 22,E023,Ted Deutch (DEM),215,193,348,0,756,63.00%
Representative in Congress District 22,E024,Nicolas Kimaz (REP),218,217,282,0,717,34.01%
Representative in Congress District 22,E024,Ted Deutch (DEM),317,366,708,0,"1,391",65.99%
Representative in Congress District 22,E025,Nicolas Kimaz (REP),87,37,85,0,209,30.12%
Representative in Congress District 22,E025,Ted Deutch (DEM),170,131,184,0,485,69.88%
Representative in Congress District 22,E026,Nicolas Kimaz (REP),112,68,129,0,309,28.96%
Representative in Congress District 22,E026,Ted Deutch (DEM),199,195,364,0,758,71.04%
Representative in Congress District 22,E027,Nicolas Kimaz (REP),262,123,252,0,637,31.60%
Representative in Congress District 22,E027,Ted Deutch (DEM),437,313,629,0,"1,379",68.40%
Representative in Congress District 22,E028,Nicolas Kimaz (REP),67,77,87,0,231,25.11%
Representative in Congress District 22,E028,Ted Deutch (DEM),187,210,292,0,689,74.89%
Representative in Congress District 22,E029,Nicolas Kimaz (REP),57,27,28,0,112,16.89%
Representative in Congress District 22,E029,Ted Deutch (DEM),198,90,263,0,551,83.11%
Representative in Congress District 22,E030,Nicolas Kimaz (REP),19,11,25,0,55,16.32%
Representative in Congress District 22,E030,Ted Deutch (DEM),96,47,139,0,282,83.68%
Representative in Congress District 22,E031,Nicolas Kimaz (REP),134,101,256,0,491,35.43%
Representative in Congress District 22,E031,Ted Deutch (DEM),207,239,449,0,895,64.57%
Representative in Congress District 22,E032,Nicolas Kimaz (REP),178,80,181,0,439,32.33%
Representative in Congress District 22,E032,Ted Deutch (DEM),244,200,475,0,919,67.67%
Representative in Congress District 22,E033,Nicolas Kimaz (REP),150,71,162,0,383,31.21%
Representative in Congress District 22,E033,Ted Deutch (DEM),289,158,397,0,844,68.79%
Representative in Congress District 22,E034,Nicolas Kimaz (REP),59,58,121,0,238,41.61%
Representative in Congress District 22,E034,Ted Deutch (DEM),86,103,145,0,334,58.39%
Representative in Congress District 22,F001,Nicolas Kimaz (REP),196,110,190,0,496,38.69%
Representative in Congress District 22,F001,Ted Deutch (DEM),249,172,365,0,786,61.31%
Representative in Congress District 22,F002,Nicolas Kimaz (REP),95,74,88,0,257,28.59%
Representative in Congress District 22,F002,Ted Deutch (DEM),225,192,225,0,642,71.41%
Representative in Congress District 22,F003,Nicolas Kimaz (REP),93,56,89,0,238,27.42%
Representative in Congress District 22,F003,Ted Deutch (DEM),204,185,241,0,630,72.58%
Representative in Congress District 22,F004,Nicolas Kimaz (REP),329,320,259,0,908,28.99%
Representative in Congress District 22,F004,Ted Deutch (DEM),554,990,680,0,"2,224",71.01%
Representative in Congress District 22,F005,Nicolas Kimaz (REP),342,213,285,0,840,35.01%
Representative in Congress District 22,F005,Ted Deutch (DEM),554,365,640,0,"1,559",64.99%
Representative in Congress District 22,F006,Nicolas Kimaz (REP),146,90,143,0,379,26.96%
Representative in Congress District 22,F006,Ted Deutch (DEM),299,270,458,0,"1,027",73.04%
Representative in Congress District 22,F007,Nicolas Kimaz (REP),206,93,168,0,467,29.94%
Representative in Congress District 22,F007,Ted Deutch (DEM),335,308,450,0,"1,093",70.06%
Representative in Congress District 22,F008,Nicolas Kimaz (REP),179,95,117,0,391,27.52%
Representative in Congress District 22,F008,Ted Deutch (DEM),430,266,334,0,"1,030",72.48%
Representative in Congress District 22,F009,Nicolas Kimaz (REP),122,71,133,0,326,26.88%
Representative in Congress District 22,F009,Ted Deutch (DEM),227,243,417,0,887,73.12%
Representative in Congress District 22,F010,Nicolas Kimaz (REP),191,117,191,0,499,31.09%
Representative in Congress District 22,F010,Ted Deutch (DEM),351,289,466,0,"1,106",68.91%
Representative in Congress District 22,F011,Nicolas Kimaz (REP),130,81,108,0,319,44.18%
Representative in Congress District 22,F011,Ted Deutch (DEM),142,97,164,0,403,55.82%
Representative in Congress District 22,F012,Nicolas Kimaz (REP),382,256,262,0,900,37.34%
Representative in Congress District 22,F012,Ted Deutch (DEM),537,401,572,0,"1,510",62.66%
Representative in Congress District 22,F013,Nicolas Kimaz (REP),75,59,68,0,202,29.66%
Representative in Congress District 22,F013,Ted Deutch (DEM),166,123,190,0,479,70.34%
Representative in Congress District 22,F014,Nicolas Kimaz (REP),109,49,91,0,249,28.59%
Representative in Congress District 22,F014,Ted Deutch (DEM),188,150,284,0,622,71.41%
Representative in Congress District 22,G001,Nicolas Kimaz (REP),130,44,81,0,255,20.90%
Representative in Congress District 22,G001,Ted Deutch (DEM),453,180,332,0,965,79.10%
Representative in Congress District 22,G002,Nicolas Kimaz (REP),206,191,184,0,581,33.88%
Representative in Congress District 22,G002,Ted Deutch (DEM),336,327,471,0,"1,134",66.12%
Representative in Congress District 22,G003,Nicolas Kimaz (REP),250,104,99,0,453,31.44%
Representative in Congress District 22,G003,Ted Deutch (DEM),375,242,371,0,988,68.56%
Representative in Congress District 22,G004,Nicolas Kimaz (REP),254,167,145,0,566,33.22%
Representative in Congress District 22,G004,Ted Deutch (DEM),357,354,427,0,"1,138",66.78%
Representative in Congress District 22,G005,Nicolas Kimaz (REP),95,95,103,0,293,26.91%
Representative in Congress District 22,G005,Ted Deutch (DEM),239,168,389,0,796,73.09%
Representative in Congress District 22,G006,Nicolas Kimaz (REP),219,129,159,0,507,31.43%
Representative in Congress District 22,G006,Ted Deutch (DEM),363,277,466,0,"1,106",68.57%
Representative in Congress District 22,G007,Nicolas Kimaz (REP),57,27,24,0,108,31.76%
Representative in Congress District 22,G007,Ted Deutch (DEM),69,64,99,0,232,68.24%
Representative in Congress District 22,G008,Nicolas Kimaz (REP),143,83,85,0,311,17.39%
Representative in Congress District 22,G008,Ted Deutch (DEM),618,296,563,0,"1,477",82.61%
Representative in Congress District 22,G009,Nicolas Kimaz (REP),23,25,24,0,72,15.22%
Representative in Congress District 22,G009,Ted Deutch (DEM),107,99,195,0,401,84.78%
Representative in Congress District 22,G010,Nicolas Kimaz (REP),233,135,116,0,484,37.43%
Representative in Congress District 22,G010,Ted Deutch (DEM),315,234,260,0,809,62.57%
Representative in Congress District 22,G011,Nicolas Kimaz (REP),136,102,153,0,391,29.20%
Representative in Congress District 22,G011,Ted Deutch (DEM),296,229,423,0,948,70.80%
Representative in Congress District 22,G012,Nicolas Kimaz (REP),116,80,122,0,318,30.55%
Representative in Congress District 22,G012,Ted Deutch (DEM),203,246,274,0,723,69.45%
Representative in Congress District 22,G013,Nicolas Kimaz (REP),28,32,31,0,91,18.31%
Representative in Congress District 22,G013,Ted Deutch (DEM),99,95,212,0,406,81.69%
Representative in Congress District 22,G014,Nicolas Kimaz (REP),141,78,124,0,343,27.93%
Representative in Congress District 22,G014,Ted Deutch (DEM),271,231,383,0,885,72.07%
Representative in Congress District 22,G015,Nicolas Kimaz (REP),110,106,96,0,312,27.83%
Representative in Congress District 22,G015,Ted Deutch (DEM),251,301,257,0,809,72.17%
Representative in Congress District 22,G016,Nicolas Kimaz (REP),254,163,208,0,625,29.54%
Representative in Congress District 22,G016,Ted Deutch (DEM),524,388,579,0,"1,491",70.46%
Representative in Congress District 22,N003,Nicolas Kimaz (REP),0,0,0,0,0,0.00%
Representative in Congress District 22,N003,Ted Deutch (DEM),-,-,-,-,2,100.00%
Representative in Congress District 22,P001,Nicolas Kimaz (REP),50,40,89,0,179,15.95%
Representative in Congress District 22,P001,Ted Deutch (DEM),140,229,574,0,943,84.05%
Representative in Congress District 22,P002,Nicolas Kimaz (REP),32,25,105,0,162,16.38%
Representative in Congress District 22,P002,Ted Deutch (DEM),108,159,560,0,827,83.62%
Representative in Congress District 22,P003,Nicolas Kimaz (REP),91,64,121,0,276,18.54%
Representative in Congress District 22,P003,Ted Deutch (DEM),231,304,678,0,"1,213",81.46%
Representative in Congress District 22,P004,Nicolas Kimaz (REP),61,32,100,0,193,18.16%
Representative in Congress District 22,P004,Ted Deutch (DEM),138,192,540,0,870,81.84%
Representative in Congress District 22,P005,Nicolas Kimaz (REP),73,44,86,0,203,26.33%
Representative in Congress District 22,P005,Ted Deutch (DEM),110,150,308,0,568,73.67%
Representative in Congress District 22,P006,Nicolas Kimaz (REP),72,42,57,0,171,21.92%
Representative in Congress District 22,P006,Ted Deutch (DEM),97,186,326,0,609,78.08%
Representative in Congress District 22,Q010,Nicolas Kimaz (REP),239,191,139,0,569,58.18%
Representative in Congress District 22,Q010,Ted Deutch (DEM),128,157,124,0,409,41.82%
Representative in Congress District 22,Q020,Nicolas Kimaz (REP),136,46,31,0,213,68.49%
Representative in Congress District 22,Q020,Ted Deutch (DEM),52,25,21,0,98,31.51%
Representative in Congress District 22,Q030,Nicolas Kimaz (REP),322,304,289,0,915,53.45%
Representative in Congress District 22,Q030,Ted Deutch (DEM),235,301,261,0,797,46.55%
Representative in Congress District 22,Q031,Nicolas Kimaz (REP),305,229,276,0,810,53.89%
Representative in Congress District 22,Q031,Ted Deutch (DEM),202,190,301,0,693,46.11%
Representative in Congress District 22,Q040,Nicolas Kimaz (REP),240,206,482,0,928,39.91%
Representative in Congress District 22,Q040,Ted Deutch (DEM),261,362,774,0,"1,397",60.09%
Representative in Congress District 22,Q041,Nicolas Kimaz (REP),295,240,417,0,952,38.70%
Representative in Congress District 22,Q041,Ted Deutch (DEM),384,397,727,0,"1,508",61.30%
Representative in Congress District 22,Q042,Nicolas Kimaz (REP),204,84,137,0,425,43.55%
Representative in Congress District 22,Q042,Ted Deutch (DEM),190,150,211,0,551,56.45%
Representative in Congress District 22,Q043,Nicolas Kimaz (REP),244,186,288,0,718,52.26%
Representative in Congress District 22,Q043,Ted Deutch (DEM),157,209,290,0,656,47.74%
Representative in Congress District 22,Q044,Nicolas Kimaz (REP),609,425,"1,096",0,"2,130",36.97%
Representative in Congress District 22,Q044,Ted Deutch (DEM),757,868,"2,007",0,"3,632",63.03%
Representative in Congress District 22,Q045,Nicolas Kimaz (REP),168,108,189,0,465,43.79%
Representative in Congress District 22,Q045,Ted Deutch (DEM),190,133,274,0,597,56.21%
Representative in Congress District 22,R001,Nicolas Kimaz (REP),195,206,294,0,695,52.06%
Representative in Congress District 22,R001,Ted Deutch (DEM),156,237,247,0,640,47.94%
Representative in Congress District 22,R002,Nicolas Kimaz (REP),254,195,290,0,739,46.68%
Representative in Congress District 22,R002,Ted Deutch (DEM),194,279,371,0,844,53.32%
Representative in Congress District 22,R003,Nicolas Kimaz (REP),101,137,184,0,422,52.55%
Representative in Congress District 22,R003,Ted Deutch (DEM),75,116,190,0,381,47.45%
Representative in Congress District 22,R004,Nicolas Kimaz (REP),145,197,291,0,633,49.53%
Representative in Congress District 22,R004,Ted Deutch (DEM),92,271,282,0,645,50.47%
Representative in Congress District 22,R005,Nicolas Kimaz (REP),52,154,177,0,383,52.75%
Representative in Congress District 22,R005,Ted Deutch (DEM),49,130,164,0,343,47.25%
Representative in Congress District 22,R006,Nicolas Kimaz (REP),107,61,93,0,261,41.36%
Representative in Congress District 22,R006,Ted Deutch (DEM),106,105,159,0,370,58.64%
Representative in Congress District 22,R007,Nicolas Kimaz (REP),146,106,168,0,420,51.72%
Representative in Congress District 22,R007,Ted Deutch (DEM),98,141,153,0,392,48.28%
Representative in Congress District 22,R008,Nicolas Kimaz (REP),131,109,187,0,427,48.25%
Representative in Congress District 22,R008,Ted Deutch (DEM),101,140,217,0,458,51.75%
Representative in Congress District 22,R009,Nicolas Kimaz (REP),152,113,198,0,463,43.97%
Representative in Congress District 22,R009,Ted Deutch (DEM),134,174,282,0,590,56.03%
Representative in Congress District 22,R010,Nicolas Kimaz (REP),154,83,147,0,384,50.66%
