racename,precinctname,Choice,Election Day,"Vote
By
Mail",Early Votes,Provisional,Total Votes,Percentage
Governor and Lieutenant Governor,A004,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A004,WRITE-IN (NON),-,-,-,-,1,0.12%
Governor and Lieutenant Governor,A005,Ron DeSantis (REP),273,119,173,0,565,54.59%
Governor and Lieutenant Governor,A005,Andrew Gillum (DEM),190,132,144,0,466,45.02%
Governor and Lieutenant Governor,A005,Darcy G. Richardson (REF),-,-,-,-,2,0.19%
Governor and Lieutenant Governor,A005,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.10%
Governor and Lieutenant Governor,A005,Ryan Christopher Foley (NPA),-,-,-,-,1,0.10%
Governor and Lieutenant Governor,A005,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A005,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A006,Ron DeSantis (REP),-,-,-,-,351,29.23%
Governor and Lieutenant Governor,A006,Andrew Gillum (DEM),-,-,-,-,843,70.19%
Governor and Lieutenant Governor,A006,Darcy G. Richardson (REF),-,-,-,-,4,0.33%
Governor and Lieutenant Governor,A006,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,2,0.17%
Governor and Lieutenant Governor,A006,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A006,Bruce Stanley (NPA),-,-,-,-,1,0.08%
Governor and Lieutenant Governor,A006,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A007,Ron DeSantis (REP),204,147,157,0,508,47.34%
Governor and Lieutenant Governor,A007,Andrew Gillum (DEM),-,-,-,-,553,51.54%
Governor and Lieutenant Governor,A007,Darcy G. Richardson (REF),-,-,-,-,5,0.47%
Governor and Lieutenant Governor,A007,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,4,0.37%
Governor and Lieutenant Governor,A007,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A007,Bruce Stanley (NPA),-,-,-,-,2,0.19%
Governor and Lieutenant Governor,A007,WRITE-IN (NON),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A008,Ron DeSantis (REP),-,-,-,-,33,10.34%
Governor and Lieutenant Governor,A008,Andrew Gillum (DEM),-,-,-,-,285,89.34%
Governor and Lieutenant Governor,A008,Darcy G. Richardson (REF),-,-,-,-,1,0.31%
Governor and Lieutenant Governor,A008,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A008,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A008,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A008,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A009,Ron DeSantis (REP),-,-,-,-,847,44.28%
Governor and Lieutenant Governor,A009,Andrew Gillum (DEM),-,-,-,-,"1,051",54.94%
Governor and Lieutenant Governor,A009,Darcy G. Richardson (REF),-,-,-,-,8,0.42%
Governor and Lieutenant Governor,A009,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,2,0.10%
Governor and Lieutenant Governor,A009,Ryan Christopher Foley (NPA),-,-,-,-,1,0.05%
Governor and Lieutenant Governor,A009,Bruce Stanley (NPA),-,-,-,-,4,0.21%
Governor and Lieutenant Governor,A009,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A010,Ron DeSantis (REP),168,77,105,0,350,52.24%
Governor and Lieutenant Governor,A010,Andrew Gillum (DEM),118,64,131,0,313,46.72%
Governor and Lieutenant Governor,A010,Darcy G. Richardson (REF),-,-,-,-,1,0.15%
Governor and Lieutenant Governor,A010,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,2,0.30%
Governor and Lieutenant Governor,A010,Ryan Christopher Foley (NPA),-,-,-,-,1,0.15%
Governor and Lieutenant Governor,A010,Bruce Stanley (NPA),-,-,-,-,3,0.45%
Governor and Lieutenant Governor,A010,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A011,Ron DeSantis (REP),-,-,-,-,22,1.88%
Governor and Lieutenant Governor,A011,Andrew Gillum (DEM),-,-,-,-,"1,144",97.78%
Governor and Lieutenant Governor,A011,Darcy G. Richardson (REF),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A011,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A011,Ryan Christopher Foley (NPA),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A011,Bruce Stanley (NPA),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A011,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A012,Ron DeSantis (REP),-,-,-,-,484,40.88%
Governor and Lieutenant Governor,A012,Andrew Gillum (DEM),-,-,-,-,681,57.52%
Governor and Lieutenant Governor,A012,Darcy G. Richardson (REF),-,-,-,-,7,0.59%
Governor and Lieutenant Governor,A012,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,5,0.42%
Governor and Lieutenant Governor,A012,Ryan Christopher Foley (NPA),-,-,-,-,4,0.34%
Governor and Lieutenant Governor,A012,Bruce Stanley (NPA),-,-,-,-,1,0.08%
Governor and Lieutenant Governor,A012,WRITE-IN (NON),-,-,-,-,2,0.17%
Governor and Lieutenant Governor,A013,Ron DeSantis (REP),340,208,270,0,818,42.72%
Governor and Lieutenant Governor,A013,Andrew Gillum (DEM),369,267,447,0,"1,083",56.55%
Governor and Lieutenant Governor,A013,Darcy G. Richardson (REF),-,-,-,-,7,0.37%
Governor and Lieutenant Governor,A013,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,3,0.16%
Governor and Lieutenant Governor,A013,Ryan Christopher Foley (NPA),-,-,-,-,1,0.05%
Governor and Lieutenant Governor,A013,Bruce Stanley (NPA),-,-,-,-,2,0.10%
Governor and Lieutenant Governor,A013,WRITE-IN (NON),-,-,-,-,1,0.05%
Governor and Lieutenant Governor,A014,Ron DeSantis (REP),255,157,235,0,647,35.43%
Governor and Lieutenant Governor,A014,Andrew Gillum (DEM),-,-,-,-,"1,160",63.53%
Governor and Lieutenant Governor,A014,Darcy G. Richardson (REF),-,-,-,-,8,0.44%
Governor and Lieutenant Governor,A014,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,3,0.16%
Governor and Lieutenant Governor,A014,Ryan Christopher Foley (NPA),-,-,-,-,3,0.16%
Governor and Lieutenant Governor,A014,Bruce Stanley (NPA),-,-,-,-,1,0.05%
Governor and Lieutenant Governor,A014,WRITE-IN (NON),-,-,-,-,4,0.22%
Governor and Lieutenant Governor,A015,Ron DeSantis (REP),20,15,16,0,51,4.43%
Governor and Lieutenant Governor,A015,Andrew Gillum (DEM),-,-,-,-,"1,097",95.23%
Governor and Lieutenant Governor,A015,Darcy G. Richardson (REF),-,-,-,-,2,0.17%
Governor and Lieutenant Governor,A015,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A015,Ryan Christopher Foley (NPA),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A015,Bruce Stanley (NPA),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A015,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A016,Ron DeSantis (REP),-,-,-,-,469,40.50%
Governor and Lieutenant Governor,A016,Andrew Gillum (DEM),-,-,-,-,682,58.89%
Governor and Lieutenant Governor,A016,Darcy G. Richardson (REF),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A016,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A016,Ryan Christopher Foley (NPA),-,-,-,-,2,0.17%
Governor and Lieutenant Governor,A016,Bruce Stanley (NPA),-,-,-,-,3,0.26%
Governor and Lieutenant Governor,A016,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A017,Ron DeSantis (REP),-,-,-,-,109,44.31%
Governor and Lieutenant Governor,A017,Andrew Gillum (DEM),41,67,25,0,133,54.07%
Governor and Lieutenant Governor,A017,Darcy G. Richardson (REF),-,-,-,-,4,1.63%
Governor and Lieutenant Governor,A017,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A017,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A017,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A017,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A018,Ron DeSantis (REP),44,34,38,0,116,14.85%
Governor and Lieutenant Governor,A018,Andrew Gillum (DEM),-,-,-,-,659,84.38%
Governor and Lieutenant Governor,A018,Darcy G. Richardson (REF),-,-,-,-,4,0.51%
Governor and Lieutenant Governor,A018,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.13%
Governor and Lieutenant Governor,A018,Ryan Christopher Foley (NPA),-,-,-,-,1,0.13%
Governor and Lieutenant Governor,A018,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A018,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A019,Ron DeSantis (REP),211,99,134,0,444,43.53%
Governor and Lieutenant Governor,A019,Andrew Gillum (DEM),-,-,-,-,565,55.39%
Governor and Lieutenant Governor,A019,Darcy G. Richardson (REF),-,-,-,-,6,0.59%
Governor and Lieutenant Governor,A019,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,2,0.20%
Governor and Lieutenant Governor,A019,Ryan Christopher Foley (NPA),-,-,-,-,2,0.20%
Governor and Lieutenant Governor,A019,Bruce Stanley (NPA),-,-,-,-,1,0.10%
Governor and Lieutenant Governor,A019,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A020,Ron DeSantis (REP),-,-,-,-,384,35.52%
Governor and Lieutenant Governor,A020,Andrew Gillum (DEM),-,-,-,-,691,63.92%
Governor and Lieutenant Governor,A020,Darcy G. Richardson (REF),-,-,-,-,4,0.37%
Governor and Lieutenant Governor,A020,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A020,Ryan Christopher Foley (NPA),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A020,Bruce Stanley (NPA),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,A020,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A021,Ron DeSantis (REP),83,40,62,0,185,21.02%
Governor and Lieutenant Governor,A021,Andrew Gillum (DEM),-,-,-,-,690,78.41%
Governor and Lieutenant Governor,A021,Darcy G. Richardson (REF),-,-,-,-,4,0.45%
Governor and Lieutenant Governor,A021,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.11%
Governor and Lieutenant Governor,A021,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A021,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A021,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A022,Ron DeSantis (REP),22,18,22,0,62,7.29%
Governor and Lieutenant Governor,A022,Andrew Gillum (DEM),-,-,-,-,785,92.35%
Governor and Lieutenant Governor,A022,Darcy G. Richardson (REF),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A022,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A022,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A022,Bruce Stanley (NPA),-,-,-,-,2,0.24%
Governor and Lieutenant Governor,A022,WRITE-IN (NON),-,-,-,-,1,0.12%
Governor and Lieutenant Governor,A023,Ron DeSantis (REP),32,14,10,0,56,11.55%
Governor and Lieutenant Governor,A023,Andrew Gillum (DEM),166,74,187,0,427,88.04%
Governor and Lieutenant Governor,A023,Darcy G. Richardson (REF),-,-,-,-,1,0.21%
Governor and Lieutenant Governor,A023,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.21%
Governor and Lieutenant Governor,A023,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A023,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A023,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A024,Ron DeSantis (REP),-,-,-,-,96,14.26%
Governor and Lieutenant Governor,A024,Andrew Gillum (DEM),-,-,-,-,574,85.29%
Governor and Lieutenant Governor,A024,Darcy G. Richardson (REF),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A024,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A024,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,A024,Bruce Stanley (NPA),-,-,-,-,3,0.45%
Governor and Lieutenant Governor,A024,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B001,Ron DeSantis (REP),281,205,164,0,650,75.49%
Governor and Lieutenant Governor,B001,Andrew Gillum (DEM),91,66,49,0,206,23.93%
Governor and Lieutenant Governor,B001,Darcy G. Richardson (REF),-,-,-,-,4,0.46%
Governor and Lieutenant Governor,B001,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.12%
Governor and Lieutenant Governor,B001,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B001,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B001,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B002,Ron DeSantis (REP),354,256,237,0,847,65.51%
Governor and Lieutenant Governor,B002,Andrew Gillum (DEM),128,161,154,0,443,34.26%
Governor and Lieutenant Governor,B002,Darcy G. Richardson (REF),-,-,-,-,1,0.08%
Governor and Lieutenant Governor,B002,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,2,0.15%
Governor and Lieutenant Governor,B002,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B002,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B002,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B003,Ron DeSantis (REP),-,-,-,-,604,68.79%
Governor and Lieutenant Governor,B003,Andrew Gillum (DEM),105,77,88,0,270,30.75%
Governor and Lieutenant Governor,B003,Darcy G. Richardson (REF),-,-,-,-,2,0.23%
Governor and Lieutenant Governor,B003,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.11%
Governor and Lieutenant Governor,B003,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B003,Bruce Stanley (NPA),-,-,-,-,1,0.11%
Governor and Lieutenant Governor,B003,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B004,Ron DeSantis (REP),-,-,-,-,"1,209",69.88%
Governor and Lieutenant Governor,B004,Andrew Gillum (DEM),-,-,-,-,509,29.42%
Governor and Lieutenant Governor,B004,Darcy G. Richardson (REF),-,-,-,-,4,0.23%
Governor and Lieutenant Governor,B004,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,3,0.17%
Governor and Lieutenant Governor,B004,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B004,Bruce Stanley (NPA),-,-,-,-,3,0.17%
Governor and Lieutenant Governor,B004,WRITE-IN (NON),-,-,-,-,2,0.12%
Governor and Lieutenant Governor,B005,Ron DeSantis (REP),-,-,-,-,269,54.12%
Governor and Lieutenant Governor,B005,Andrew Gillum (DEM),-,-,-,-,221,44.47%
Governor and Lieutenant Governor,B005,Darcy G. Richardson (REF),-,-,-,-,5,1.01%
Governor and Lieutenant Governor,B005,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B005,Ryan Christopher Foley (NPA),-,-,-,-,1,0.20%
Governor and Lieutenant Governor,B005,Bruce Stanley (NPA),-,-,-,-,1,0.20%
Governor and Lieutenant Governor,B005,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B006,Ron DeSantis (REP),152,70,81,0,303,60.24%
Governor and Lieutenant Governor,B006,Andrew Gillum (DEM),90,38,66,0,194,38.57%
Governor and Lieutenant Governor,B006,Darcy G. Richardson (REF),-,-,-,-,3,0.60%
Governor and Lieutenant Governor,B006,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.20%
Governor and Lieutenant Governor,B006,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,B006,Bruce Stanley (NPA),-,-,-,-,2,0.40%
Governor and Lieutenant Governor,B006,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C001,Ron DeSantis (REP),-,-,-,-,"1,074",54.77%
Governor and Lieutenant Governor,C001,Andrew Gillum (DEM),-,-,-,-,874,44.57%
Governor and Lieutenant Governor,C001,Darcy G. Richardson (REF),-,-,-,-,6,0.31%
Governor and Lieutenant Governor,C001,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,3,0.15%
Governor and Lieutenant Governor,C001,Ryan Christopher Foley (NPA),-,-,-,-,2,0.10%
Governor and Lieutenant Governor,C001,Bruce Stanley (NPA),-,-,-,-,1,0.05%
Governor and Lieutenant Governor,C001,WRITE-IN (NON),-,-,-,-,1,0.05%
Governor and Lieutenant Governor,C002,Ron DeSantis (REP),141,89,168,0,398,59.94%
Governor and Lieutenant Governor,C002,Andrew Gillum (DEM),-,-,-,-,255,38.40%
Governor and Lieutenant Governor,C002,Darcy G. Richardson (REF),-,-,-,-,5,0.75%
Governor and Lieutenant Governor,C002,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.15%
Governor and Lieutenant Governor,C002,Ryan Christopher Foley (NPA),-,-,-,-,3,0.45%
Governor and Lieutenant Governor,C002,Bruce Stanley (NPA),-,-,-,-,1,0.15%
Governor and Lieutenant Governor,C002,WRITE-IN (NON),-,-,-,-,1,0.15%
Governor and Lieutenant Governor,C003,Ron DeSantis (REP),107,70,125,0,302,49.27%
Governor and Lieutenant Governor,C003,Andrew Gillum (DEM),88,59,158,0,305,49.76%
Governor and Lieutenant Governor,C003,Darcy G. Richardson (REF),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C003,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,2,0.33%
Governor and Lieutenant Governor,C003,Ryan Christopher Foley (NPA),-,-,-,-,2,0.33%
Governor and Lieutenant Governor,C003,Bruce Stanley (NPA),-,-,-,-,2,0.33%
Governor and Lieutenant Governor,C003,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C004,Ron DeSantis (REP),-,-,-,-,522,55.89%
Governor and Lieutenant Governor,C004,Andrew Gillum (DEM),85,142,182,0,409,43.79%
Governor and Lieutenant Governor,C004,Darcy G. Richardson (REF),-,-,-,-,1,0.11%
Governor and Lieutenant Governor,C004,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.11%
Governor and Lieutenant Governor,C004,Ryan Christopher Foley (NPA),-,-,-,-,1,0.11%
Governor and Lieutenant Governor,C004,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C004,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C005,Ron DeSantis (REP),-,-,-,-,31,2.19%
Governor and Lieutenant Governor,C005,Andrew Gillum (DEM),-,-,-,-,"1,379",97.39%
Governor and Lieutenant Governor,C005,Darcy G. Richardson (REF),-,-,-,-,2,0.14%
Governor and Lieutenant Governor,C005,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C005,Ryan Christopher Foley (NPA),-,-,-,-,2,0.14%
Governor and Lieutenant Governor,C005,Bruce Stanley (NPA),-,-,-,-,2,0.14%
Governor and Lieutenant Governor,C005,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C006,Ron DeSantis (REP),30,23,27,0,80,4.42%
Governor and Lieutenant Governor,C006,Andrew Gillum (DEM),-,-,-,-,"1,724",95.20%
Governor and Lieutenant Governor,C006,Darcy G. Richardson (REF),-,-,-,-,3,0.17%
Governor and Lieutenant Governor,C006,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,2,0.11%
Governor and Lieutenant Governor,C006,Ryan Christopher Foley (NPA),-,-,-,-,1,0.06%
Governor and Lieutenant Governor,C006,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C006,WRITE-IN (NON),-,-,-,-,1,0.06%
Governor and Lieutenant Governor,C007,Ron DeSantis (REP),75,47,62,0,184,56.62%
Governor and Lieutenant Governor,C007,Andrew Gillum (DEM),38,34,69,0,141,43.38%
Governor and Lieutenant Governor,C007,Darcy G. Richardson (REF),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C007,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C007,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C007,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C007,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C008,Ron DeSantis (REP),107,89,176,0,372,52.03%
Governor and Lieutenant Governor,C008,Andrew Gillum (DEM),78,95,164,0,337,47.13%
Governor and Lieutenant Governor,C008,Darcy G. Richardson (REF),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C008,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C008,Ryan Christopher Foley (NPA),-,-,-,-,5,0.70%
Governor and Lieutenant Governor,C008,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C008,WRITE-IN (NON),-,-,-,-,1,0.14%
Governor and Lieutenant Governor,C009,Ron DeSantis (REP),28,24,32,0,84,21.93%
Governor and Lieutenant Governor,C009,Andrew Gillum (DEM),89,55,152,0,296,77.28%
Governor and Lieutenant Governor,C009,Darcy G. Richardson (REF),-,-,-,-,2,0.52%
Governor and Lieutenant Governor,C009,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C009,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C009,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C009,WRITE-IN (NON),-,-,-,-,1,0.26%
Governor and Lieutenant Governor,C010,Ron DeSantis (REP),-,-,-,-,683,46.18%
Governor and Lieutenant Governor,C010,Andrew Gillum (DEM),-,-,-,-,777,52.54%
Governor and Lieutenant Governor,C010,Darcy G. Richardson (REF),-,-,-,-,9,0.61%
Governor and Lieutenant Governor,C010,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,4,0.27%
Governor and Lieutenant Governor,C010,Ryan Christopher Foley (NPA),-,-,-,-,4,0.27%
Governor and Lieutenant Governor,C010,Bruce Stanley (NPA),-,-,-,-,2,0.14%
Governor and Lieutenant Governor,C010,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C011,Ron DeSantis (REP),-,-,-,-,657,53.94%
Governor and Lieutenant Governor,C011,Andrew Gillum (DEM),126,212,217,0,555,45.57%
Governor and Lieutenant Governor,C011,Darcy G. Richardson (REF),-,-,-,-,4,0.33%
Governor and Lieutenant Governor,C011,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C011,Ryan Christopher Foley (NPA),-,-,-,-,1,0.08%
Governor and Lieutenant Governor,C011,Bruce Stanley (NPA),-,-,-,-,1,0.08%
Governor and Lieutenant Governor,C011,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C012,Ron DeSantis (REP),105,255,202,0,562,52.33%
Governor and Lieutenant Governor,C012,Andrew Gillum (DEM),-,-,-,-,508,47.30%
Governor and Lieutenant Governor,C012,Darcy G. Richardson (REF),-,-,-,-,1,0.09%
Governor and Lieutenant Governor,C012,"Kyle ""KC"" Gibson (NPA)",0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C012,Ryan Christopher Foley (NPA),-,-,-,-,3,0.28%
Governor and Lieutenant Governor,C012,Bruce Stanley (NPA),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C012,WRITE-IN (NON),0,0,0,0,0,0.00%
Governor and Lieutenant Governor,C013,Ron DeSantis (REP),108,123,128,0,359,52.10%
Governor and Lieutenant Governor,C013,Andrew Gillum (DEM),79,135,108,0,322,46.73%
Governor and Lieutenant Governor,C013,Darcy G. Richardson (REF),-,-,-,-,7,1.02%
Governor and Lieutenant Governor,C013,"Kyle ""KC"" Gibson (NPA)",-,-,-,-,1,0.15%
Governor and Lieutenant Governor,C013,Ryan Christopher Foley (NPA),0,0,0,0,0,0.00%
